股票代码,公司全称,年份,行业分类代码,行业分类名称,入口依据,涉农业务名称,涉农业务营业收入,公司营业收入,涉农收入占比,是否存在分部收入重叠,严格样本结论,扩展样本结论,边界样本结论,纳入或剔除理由,当年曾ST_已核实,年末ST_已核实,当年退市整理期_已核实,年报链接,年报主营业务表PDF页序号,利润表PDF页序号,复核状态,口径提示
600108,甘肃亚盛实业(集团)股份有限公司,2017,1.0,农业,行业分类候选,农业种植,1804769314.05,2066341677.84,0.87341282,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2018-04-20/1204666987.PDF,13,63,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2017,1.0,农业,行业分类候选,玉米种子（保守产品口径）,245248710.63,257773896.15,0.95141019,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2018-04-21/1204673558.PDF,11,53,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600598,黑龙江北大荒农业股份有限公司,2017,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2628324089.73,2992414562.19,0.87832887,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2018-04-03/1204575674.PDF,11,63|70,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2018,4.0,渔业,行业分类候选,远洋捕捞,501718433.05,626212925.18,0.80119463,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-07-13/1206443996.PDF,12,66,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,农业（水稻种子、玉米种子）,2727716676.14,3579717393.27,0.76199218,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869906.PDF,21,103,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2018,1.0,农业,行业分类候选,玉米种子（保守产品口径）,675822056.26,761065669.78,0.8879944,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2019-03-22/1205925542.PDF,16,57,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2018,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,雏鸡及淘汰鸡,1019590553.1,1817711386.36,0.56091994,否（仅使用同一分产品维度）,是,是,否,直接畜牧养殖收入占56.09%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2019-02-27/1205852140.PDF,16,59,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002458,山东益生种畜禽股份有限公司,2018,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,1453310378.71,1473118954.89,0.98655331,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2019-02-20/1205842282.PDF,16,68,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002679,福建金森林业股份有限公司,2018,2.0,林业,行业分类候选,林业（不含林业技术服务）,148704712.08,168492923.19,0.88255761,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2019-04-25/1206091379.PDF,12,77,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2018,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪（保守产品口径）,13261601545.91,13388157685.94,0.99054716,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2019-03-27/1205942697.PDF,25,132,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002772,天水众兴菌业科技股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,926432056.86,926432056.86,1.0,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-03-29/1205957599.PDF,22,125,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2018,1.0,农业,行业分类候选,水稻、玉米种子（仅取年报明确列示项）,722236209.33,910315372.5,0.7933912,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2019-04-20/1206061430.PDF,21,115,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,杂交水稻、玉米、棉花、蔬菜及其他种子,124117508.61,171895373.03,0.72205264,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2020-01-07/1207233015.PDF,26,102,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
300511,上海雪榕生物科技股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,1786449684.19,1846625656.23,0.96741301,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-04-25/1206093329.PDF,19,97,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
600108,甘肃亚盛实业(集团)股份有限公司,2018,1.0,农业,行业分类候选+龙头企业身份核实候选,农业种植,2122314619.49,2507509619.55,0.84638344,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-04-30/1206164538.PDF,11,45,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2018,1.0,农业,行业分类候选,玉米种子（保守产品口径）,256734575.24,263890771.75,0.97288198,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2019-04-20/1206061860.PDF,10,50,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2018,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖、捕捞,673484572.3,1149831070.21,0.5857248,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-04-26/1206098857.PDF,13,60,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600598,黑龙江北大荒农业股份有限公司,2018,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2697131614.7,3264778781.25,0.82612998,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2019-04-04/1205991797.PDF,11,70,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2019,4.0,渔业,行业分类候选,远洋捕捞,430206787.57,578668995.1,0.74344192,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-04-10/1207473796.PDF,12,69,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,农业（水稻种子、玉米种子）,2034581175.61,3129540711.87,0.65012133,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869907.PDF,22,106,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,玉米种子（保守产品口径）,721245911.03,823176983.54,0.87617356,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2020-04-22/1207552150.PDF,16,67,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2019,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,雏鸡及淘汰鸡,2351883895.77,3276052000.43,0.71790188,否（仅使用同一分产品维度）,是,是,否,直接畜牧养殖收入占71.79%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2020-04-21/1207538014.PDF,17,59,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002458,山东益生种畜禽股份有限公司,2019,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,3454297955.82,3583534105.26,0.96393612,否（仅使用同一分行业维度）,是,是,否,直接畜牧养殖收入占96.39%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2020-02-20/1207314355.PDF,17,73,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002679,福建金森林业股份有限公司,2019,2.0,林业,行业分类候选,林业,122658320.6,128552232.82,0.95415162,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2020-04-29/1207666531.PDF,12,16|79,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2019,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪（保守产品口径）,19627036862.66,20221332525.64,0.97061046,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2020-02-27/1207325910.PDF,29,148,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002772,天水众兴菌业科技股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,1155832460.49,1155832460.49,1.0,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-04-29/1207664329.PDF,21,112,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,水稻种子（仅取单项即可达到门槛）,687053171.51,1153661613.91,0.59554133,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2020-04-25/1207603773.PDF,21,135,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,杂交水稻、玉米、蔬菜及其他种子,92799774.17,112458427.26,0.82519182,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2020-05-26/1207862622.PDF,18,91,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
300511,上海雪榕生物科技股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,1945935776.25,1964574723.12,0.99051248,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-04-25/1207608368.PDF,19,92,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
600108,甘肃亚盛实业(集团)股份有限公司,2019,1.0,农业,行业分类候选+龙头企业身份核实候选,农业种植,2123311566.29,2731512697.38,0.77733908,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-05-13/1207783877.PDF,9,37,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2019,1.0,农业,行业分类候选,玉米种子（保守产品口径）,263612607.33,275377686.09,0.95727657,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2020-04-29/1207653987.PDF,10,55,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2019,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖、捕捞,679168146.47,1226123062.59,0.55391516,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-05-07/1207708446.PDF,13,59,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600598,黑龙江北大荒农业股份有限公司,2019,1.0,农业,行业分类候选,农业行业（土地承包费）,2675129872.46,3111306139.6,0.85980927,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2020-03-30/1207423704.PDF,12,70,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2020,4.0,渔业,行业分类候选,远洋捕捞,355857733.0,445286551.21,0.79916569,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2021-02-06/1209253238.PDF,12,68,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,农业（水稻种子、玉米种子）,2377886132.98,3290527650.55,0.72264584,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2021-04-30/1209869920.PDF,21,113,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002041,山东登海种业股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,玉米种子（保守产品口径）,784860934.35,900743999.55,0.87134739,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2021-04-21/1209736731.PDF,17,61,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2020,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,雏鸡及淘汰鸡,924777610.8,1681883981.38,0.54984626,否（仅使用同一分产品维度）,是,是,否,直接畜牧养殖收入占54.98%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2021-04-27/1209810808.PDF,18,65,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002458,山东益生种畜禽股份有限公司,2020,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,1574681582.79,1751036372.39,0.89928548,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,仅合计同一分行业维度的鸡、猪和牛奶收入，排除其他及农牧设备；直接畜牧业务保守占比超过50%。,,,,https://static.cninfo.com.cn/finalpage/2021-03-03/1209324835.PDF,20,80,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002679,福建金森林业股份有限公司,2020,2.0,林业,行业分类候选,林业,141538235.09,148031923.45,0.95613319,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2021-04-29/1209848726.PDF,12,16|76,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
002714,牧原食品集团股份有限公司,2020,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪（保守产品口径）,55105001071.85,56277065607.85,0.97917332,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2021-04-30/1209868216.PDF,24,134,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002772,天水众兴菌业科技股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,1483178491.71,1483178491.71,1.0,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2021-03-26/1209454487.PDF,16,99,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
300087,安徽荃银高科种业股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,水稻种子（仅取单项即可达到门槛）,868001184.83,1601709079.85,0.54192187,否（同一分产品维度内求和）,是,是,否,仅合计当年年报明确列示的种子产品收入，已超过合并营业收入50%；未计订单粮食、青贮、农批市场、农机农化、服务及含义不清的其他项。,,,,https://static.cninfo.com.cn/finalpage/2021-04-23/1209772503.PDF,22,112,已人工复核（跨年快速核对第四批）,逐年核对官方年报分产品收入；仅用明确种子项目的保守分子，不复制相邻年度。
300189,海南神农种业科技股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,杂交水稻、玉米、蔬菜及其他种子,118588052.6,129368353.32,0.91666972,否（同一分产品维度内求和）,是,是,否,明确种子产品收入已超过合并营业收入50%，未计农化、粮食、房屋、供应链等项目。,,,,https://static.cninfo.com.cn/finalpage/2021-04-28/1209836036.PDF,19,88|129,已人工复核（跨年快速核对第五批）,逐年核对官方年报分产品收入，业务转型年份按当年实际口径判定。
300511,上海雪榕生物科技股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,食用菌种植,2179627097.78,2202185873.52,0.98975619,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2024-04-26/1219839663.PDF,20,147,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
600108,甘肃亚盛实业(集团)股份有限公司,2020,1.0,农业,行业分类候选+龙头企业身份核实候选,农业种植,2522375461.89,3132066911.75,0.80533894,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2021-04-28/1209833234.PDF,10,38,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600371,万向德农股份有限公司,2020,1.0,农业,行业分类候选,玉米种子（保守产品口径）,233762236.9,240058209.59,0.97377314,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2021-04-27/1209809737.PDF,12,52,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
600467,山东好当家海洋发展股份有限公司,2020,4.0,渔业,行业分类候选+龙头企业身份核实候选,水产养殖、捕捞,705422086.32,1230137523.72,0.57344978,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2021-04-24/1209787362.PDF,13,54,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
600598,黑龙江北大荒农业股份有限公司,2020,1.0,农业,行业分类候选,农业行业（土地承包及农产品经营）,2716126145.12,3240890962.86,0.83808008,否（仅使用同一分行业维度）,是,是,否,同一分行业维度的直接农业收入超过合并营业收入50%；未叠加产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2021-03-30/1209473690.PDF,12,81,已人工复核（跨年快速核对第六批）,逐年核对当年官方年报分行业营业收入和合并利润表；严格、扩展口径分别计算，不跨披露维度相加。
000798,中水集团远洋股份有限公司,2021,4.0,渔业,行业分类候选,远洋捕捞,357713072.13,462390686.83,0.77361652,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2022-02-10/1212333125.PDF,12,73,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
000998,袁隆平农业高科技股份有限公司,2021,1.0,农业,行业分类候选+龙头企业身份核实候选,农业（水稻种子、玉米种子）,2318915089.54,3503442453.93,0.66189616,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,种子等直接农业业务的保守收入占比超过50%；未叠加地区或销售模式维度。,,,,https://static.cninfo.com.cn/finalpage/2022-04-26/1213109016.PDF,21,110,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
001201,东瑞食品集团股份有限公司,2021,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,生猪养殖,942113022.68,1051843098.16,0.89567829,否（只使用一个分行业维度）,是,是,否,当年官方年报分行业直接农业营业收入超过公司合并营业收入50%；未叠加分产品、地区或销售模式。,,,,https://static.cninfo.com.cn/finalpage/2022-04-28/1213167484.PDF,17,145,已人工复核（跨年快速核对第三批）,逐年核对当年官方年报营业收入构成表与合并利润表；未复制相邻年份数值。
002041,山东登海种业股份有限公司,2021,1.0,农业,行业分类候选+龙头企业身份核实候选,玉米种子（保守产品口径）,978398114.37,1100726996.19,0.88886538,否（只取一个分行业或分产品维度；采用保守分子）,是,是,否,直接农业业务的保守收入分子已超过公司营业收入50%；未叠加其他可能符合口径的业务。,,,,https://static.cninfo.com.cn/finalpage/2022-04-19/1212966700.PDF,17,67,已人工复核（跨年快速核对试验）,按公司跨年比较后，逐年核对当年年报业务表与利润表；未复制相邻年份数值。
002234,山东民和牧业股份有限公司,2021,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,雏鸡及淘汰鸡,997973934.12,1775432179.3,0.56210197,否（仅使用同一分产品维度）,是,是,否,直接畜牧养殖收入占56.21%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2022-03-26/1212685630.PDF,19,73,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002458,山东益生种畜禽股份有限公司,2021,3.0,畜牧业,行业分类候选+龙头企业身份核实候选,鸡、猪、牛奶,1985303867.17,2089921928.63,0.94994164,否（仅使用同一分行业维度）,是,是,否,直接畜牧养殖收入占94.99%，超过合并营业收入50%；未叠加行业、产品或地区等交叉披露维度。,,,,https://static.cninfo.com.cn/finalpage/2022-02-26/1212457495.PDF,21,76,已人工复核（跨年快速核对第七批）,逐年核对当年官方年报；严格口径为直接养殖，扩展口径可加入同一披露维度的初加工；不跨行业、产品、地区维度相加。
002679,福建金森林业股份有限公司,2021,2.0,林业,行业分类候选,林业（原木等直接林业业务）,189886506.97,189886506.97,1.0,否（仅取同一分行业或分产品维度；采用保守分子）,是,是,否,直接林业收入保守占比超过50%；未叠加其他披露维度。,,,,https://static.cninfo.com.cn/finalpage/2022-04-30/1213253319.PDF,15,17|77,已人工复核（跨年快速核对第二批）,按公司跨年比较后逐年核对当年官方年报业务表与合并利润表；未复制、插值或外推相邻年份数值。
